Step,PC,Prediction,Actual,Accuracy,Source
400,1000,-1,-1,0.7955112219451371,perceptron
401,1001,-1,-1,0.7960199004975125,perceptron
402,1002,-1,-1,0.7965260545905707,perceptron
403,1003,-1,-1,0.7970297029702971,perceptron
404,1004,-1,-1,0.7975308641975308,perceptron
405,1000,-1,-1,0.7980295566502463,loop
406,1001,-1,-1,0.7985257985257985,perceptron
407,1002,-1,-1,0.7990196078431373,perceptron
408,1003,-1,-1,0.7995110024449877,perceptron
409,1004,-1,-1,0.8,perceptron
410,2000,1,1,0.8004866180048662,loop
411,2000,1,1,0.8009708737864077,loop
412,2000,1,1,0.801452784503632,loop
413,2000,-1,1,0.7995169082125604,loop
414,2000,-1,-1,0.8,loop
415,2000,1,1,0.8004807692307693,loop
416,2000,1,1,0.8009592326139089,loop
417,2000,1,1,0.8014354066985646,loop
418,2000,-1,1,0.7995226730310262,loop
419,2000,-1,-1,0.8,loop
420,2000,1,1,0.8004750593824228,loop
421,2000,1,1,0.8009478672985783,loop
422,2000,1,1,0.8014184397163121,loop
423,2000,-1,1,0.7995283018867925,loop
424,2000,-1,-1,0.8,loop
425,3002,1,1,0.8004694835680751,perceptron
426,3000,1,1,0.8009367681498829,perceptron
427,3001,1,1,0.8014018691588785,perceptron
428,3002,1,1,0.8018648018648019,perceptron
429,3000,1,1,0.8023255813953488,perceptron
430,3001,1,1,0.802784222737819,perceptron
431,3002,1,1,0.8032407407407407,perceptron
432,3000,1,1,0.8036951501154734,perceptron
433,3001,1,1,0.804147465437788,perceptron
434,3002,1,1,0.8045977011494253,perceptron
435,4820,-1,1,0.8027522935779816,perceptron
436,4256,1,-1,0.8009153318077803,perceptron
437,4287,-1,1,0.7990867579908676,perceptron
438,4919,-1,1,0.7972665148063781,perceptron
439,4608,1,-1,0.7954545454545454,perceptron
440,4399,1,1,0.7959183673469388,perceptron
441,4214,-1,-1,0.7963800904977375,perceptron
442,4427,1,1,0.7968397291196389,perceptron
443,4756,1,-1,0.795045045045045,perceptron
444,4035,1,-1,0.7932584269662921,perceptron
445,4743,1,-1,0.7914798206278026,perceptron
446,4543,1,1,0.7919463087248322,perceptron
447,4537,1,1,0.7924107142857143,perceptron
448,4687,1,1,0.7928730512249443,perceptron
449,4284,1,1,0.7933333333333333,perceptron
450,1000,-1,-1,0.7937915742793792,loop
451,1001,-1,-1,0.7942477876106194,perceptron
452,1002,-1,-1,0.7947019867549668,perceptron
453,1003,-1,-1,0.7951541850220264,perceptron
454,1004,-1,-1,0.7956043956043956,perceptron
455,1000,-1,-1,0.7960526315789473,loop
456,1001,-1,-1,0.7964989059080962,perceptron
457,1002,-1,-1,0.7969432314410481,perceptron
458,1003,-1,-1,0.7973856209150327,perceptron
459,1004,-1,-1,0.7978260869565217,perceptron
460,2000,1,1,0.7982646420824295,loop
461,2000,1,1,0.7987012987012987,loop
462,2000,1,1,0.7991360691144709,loop
463,2000,-1,1,0.7974137931034483,loop
464,2000,-1,-1,0.7978494623655914,loop
465,2000,1,1,0.7982832618025751,loop
466,2000,1,1,0.7987152034261242,loop
467,2000,1,1,0.7991452991452992,loop
468,2000,-1,1,0.7974413646055437,loop
469,2000,-1,-1,0.7978723404255319,loop
470,2000,1,1,0.7983014861995754,loop
471,2000,1,1,0.798728813559322,loop
472,2000,1,1,0.7991543340380549,loop
473,2000,-1,1,0.7974683544303798,loop
474,2000,-1,-1,0.7978947368421052,loop
475,3001,1,1,0.7983193277310925,perceptron
476,3002,1,1,0.7987421383647799,perceptron
477,3000,1,1,0.799163179916318,perceptron
478,3001,1,1,0.7995824634655533,perceptron
479,3002,1,1,0.8,perceptron
480,3000,1,1,0.8004158004158004,perceptron
481,3001,1,1,0.8008298755186722,perceptron
482,3002,1,1,0.8012422360248447,perceptron
483,3000,1,1,0.8016528925619835,perceptron
