Step,PC,Prediction,Actual,Accuracy,Source
318,3002,1,1,0.774294670846395,perceptron
319,3000,1,1,0.775,perceptron
320,4023,1,-1,0.7725856697819314,perceptron
321,4081,1,1,0.7732919254658385,perceptron
322,4049,1,1,0.7739938080495357,perceptron
323,4013,1,-1,0.7716049382716049,perceptron
324,4007,1,-1,0.7692307692307693,perceptron
325,1000,1,-1,0.7668711656441718,loop
326,1001,-1,-1,0.7675840978593272,perceptron
327,1002,-1,-1,0.7682926829268293,perceptron
328,1003,-1,-1,0.7689969604863222,perceptron
329,1004,-1,-1,0.7696969696969697,perceptron
330,1000,1,-1,0.7673716012084593,loop
331,1001,-1,-1,0.7680722891566265,perceptron
332,1002,-1,-1,0.7687687687687688,perceptron
333,1003,-1,-1,0.7694610778443114,perceptron
334,1004,-1,-1,0.7701492537313432,perceptron
335,1000,1,-1,0.7678571428571429,loop
336,1001,-1,-1,0.7685459940652819,perceptron
337,1002,-1,-1,0.7692307692307693,perceptron
338,1003,-1,-1,0.7699115044247787,perceptron
339,1004,-1,-1,0.7705882352941177,perceptron
340,1000,1,-1,0.7683284457478006,loop
341,1001,-1,-1,0.7690058479532164,perceptron
342,1002,-1,-1,0.7696793002915452,perceptron
343,1003,-1,-1,0.7703488372093024,perceptron
344,1004,-1,-1,0.7710144927536232,perceptron
345,1000,1,-1,0.7687861271676301,loop
346,1001,-1,-1,0.7694524495677233,perceptron
347,1002,-1,-1,0.7701149425287356,perceptron
348,1003,-1,-1,0.7707736389684814,perceptron
349,1004,-1,-1,0.7714285714285715,perceptron
350,2000,1,1,0.7720797720797721,loop
351,2000,1,1,0.7727272727272727,loop
352,2000,1,1,0.773371104815864,loop
353,2000,-1,1,0.7711864406779662,loop
354,2000,-1,-1,0.7718309859154929,loop
355,2000,1,1,0.7724719101123596,loop
356,2000,1,1,0.773109243697479,loop
357,2000,1,1,0.7737430167597765,loop
358,2000,-1,1,0.7715877437325905,loop
359,2000,-1,-1,0.7722222222222223,loop
360,2000,1,1,0.7728531855955678,loop
361,2000,1,1,0.7734806629834254,loop
362,2000,1,1,0.7741046831955923,loop
363,2000,-1,1,0.771978021978022,loop
364,2000,-1,-1,0.7726027397260274,loop
365,2000,1,1,0.773224043715847,loop
366,2000,1,1,0.773841961852861,loop
367,2000,1,1,0.7744565217391305,loop
368,2000,-1,1,0.7723577235772358,loop
369,2000,-1,-1,0.772972972972973,loop
370,2000,1,1,0.7735849056603774,loop
371,2000,1,1,0.7741935483870968,loop
372,2000,1,1,0.774798927613941,loop
373,2000,-1,1,0.7727272727272727,loop
374,2000,-1,-1,0.7733333333333333,loop
375,3000,1,1,0.773936170212766,perceptron
376,3001,1,1,0.7745358090185677,perceptron
377,3002,1,1,0.7751322751322751,perceptron
378,3000,1,1,0.7757255936675461,perceptron
379,3001,1,1,0.7763157894736842,perceptron
380,3002,1,1,0.7769028871391076,perceptron
381,3000,1,1,0.7774869109947644,perceptron
382,3001,1,1,0.7780678851174935,perceptron
383,3002,1,1,0.7786458333333334,perceptron
384,3000,1,1,0.7792207792207793,perceptron
385,4024,1,1,0.7797927461139896,perceptron
386,4091,-1,-1,0.7803617571059431,perceptron
387,4086,1,1,0.7809278350515464,perceptron
388,4083,1,-1,0.7789203084832905,perceptron
389,4022,1,-1,0.7769230769230769,perceptron
390,1000,1,-1,0.7749360613810742,loop
391,1001,-1,-1,0.7755102040816326,perceptron
392,1002,-1,-1,0.7760814249363868,perceptron
393,1003,-1,-1,0.7766497461928934,perceptron
394,1004,-1,-1,0.7772151898734178,perceptron
395,1000,1,-1,0.7752525252525253,loop
396,1001,-1,-1,0.7758186397984886,perceptron
397,1002,-1,-1,0.7763819095477387,perceptron
398,1003,-1,-1,0.7769423558897243,perceptron
399,1004,-1,-1,0.7775,perceptron
400,1000,1,-1,0.7755610972568578,loop
401,1001,-1,-1,0.7761194029850746,perceptron
402,1002,-1,-1,0.7766749379652605,perceptron
403,1003,-1,-1,0.7772277227722773,perceptron
404,1004,-1,-1,0.7777777777777778,perceptron
405,1000,1,-1,0.7758620689655172,loop
406,1001,-1,-1,0.7764127764127764,perceptron
407,1002,-1,-1,0.7769607843137255,perceptron
408,1003,-1,-1,0.7775061124694377,perceptron
409,1004,-1,-1,0.7780487804878049,perceptron
410,1000,1,-1,0.7761557177615572,loop
411,1001,-1,-1,0.7766990291262136,perceptron
412,1002,-1,-1,0.7772397094430993,perceptron
413,1003,-1,-1,0.7777777777777778,perceptron
414,1004,-1,-1,0.7783132530120482,perceptron
415,2000,1,1,0.7788461538461539,loop
416,2000,1,1,0.7793764988009593,loop
417,2000,1,1,0.7799043062200957,loop
418,2000,-1,1,0.7780429594272077,loop
419,2000,-1,-1,0.7785714285714286,loop
420,2000,1,1,0.7790973871733967,loop
421,2000,1,1,0.7796208530805687,loop
422,2000,1,1,0.7801418439716312,loop
423,2000,-1,1,0.7783018867924528,loop
424,2000,-1,-1,0.7788235294117647,loop
425,2000,1,1,0.7793427230046949,loop
426,2000,1,1,0.7798594847775175,loop
427,2000,1,1,0.780373831775701,loop
428,2000,-1,1,0.7785547785547785,loop
429,2000,-1,-1,0.7790697674418605,loop
430,2000,1,1,0.7795823665893271,loop
431,2000,1,1,0.7800925925925926,loop
432,2000,1,1,0.7806004618937644,loop
433,2000,-1,1,0.7788018433179723,loop
434,2000,-1,-1,0.7793103448275862,loop
435,2000,1,1,0.7798165137614679,loop
436,2000,1,1,0.7803203661327232,loop
437,2000,1,1,0.7808219178082192,loop
438,2000,-1,1,0.7790432801822323,loop
439,2000,-1,-1,0.7795454545454545,loop
440,3000,1,1,0.780045351473923,perceptron
441,3001,1,1,0.7805429864253394,perceptron
442,3002,1,1,0.781038374717833,perceptron
443,3000,1,1,0.7815315315315315,perceptron
444,3001,1,1,0.7820224719101123,perceptron
445,3002,1,1,0.7825112107623319,perceptron
446,3000,1,1,0.7829977628635347,perceptron
447,3001,1,1,0.7834821428571429,perceptron
448,3002,1,1,0.7839643652561247,perceptron
449,3000,1,1,0.7844444444444445,perceptron
450,4094,1,-1,0.7827050997782705,perceptron
451,4035,1,1,0.7831858407079646,perceptron
452,4084,1,1,0.7836644591611479,perceptron
453,4077,-1,1,0.7819383259911894,perceptron
454,4051,-1,1,0.7802197802197802,loop
455,1000,1,-1,0.7785087719298246,loop
456,1001,-1,-1,0.7789934354485777,perceptron
457,1002,-1,-1,0.7794759825327511,perceptron
458,1003,-1,-1,0.7799564270152506,perceptron
459,1004,-1,-1,0.7804347826086957,perceptron
460,1000,1,-1,0.7787418655097614,loop
461,1001,-1,-1,0.7792207792207793,perceptron
462,1002,-1,-1,0.7796976241900648,perceptron
463,1003,-1,-1,0.7801724137931034,perceptron
464,1004,-1,-1,0.7806451612903226,perceptron
465,1000,1,-1,0.778969957081545,loop
466,1001,-1,-1,0.7794432548179872,perceptron
467,1002,-1,-1,0.7799145299145299,perceptron
468,1003,-1,-1,0.7803837953091685,perceptron
469,1004,-1,-1,0.7808510638297872,perceptron
470,1000,1,-1,0.7791932059447984,loop
471,1001,-1,-1,0.7796610169491526,perceptron
472,1002,-1,-1,0.7801268498942917,perceptron
473,1003,-1,-1,0.7805907172995781,perceptron
474,1004,-1,-1,0.7810526315789473,perceptron
475,1000,1,-1,0.7794117647058824,loop
476,1001,-1,-1,0.779874213836478,perceptron
477,1002,-1,-1,0.7803347280334728,perceptron
478,1003,-1,-1,0.7807933194154488,perceptron
479,1004,-1,-1,0.78125,perceptron
480,2000,1,1,0.7817047817047817,loop
481,2000,1,1,0.7821576763485477,loop
482,2000,1,1,0.782608695652174,loop
483,2000,-1,1,0.78099173553719,loop
484,2000,-1,-1,0.7814432989690722,loop
485,2000,1,1,0.7818930041152263,loop
486,2000,1,1,0.7823408624229979,loop
487,2000,1,1,0.7827868852459017,loop
488,2000,-1,1,0.7811860940695297,loop
489,2000,-1,-1,0.7816326530612245,loop
490,2000,1,1,0.7820773930753564,loop
491,2000,1,1,0.782520325203252,loop
492,2000,1,1,0.7829614604462475,loop
493,2000,-1,1,0.7813765182186235,loop
494,2000,-1,-1,0.7818181818181819,loop
495,2000,1,1,0.782258064516129,loop
496,2000,1,1,0.7826961770623743,loop
497,2000,1,1,0.7831325301204819,loop
498,2000,-1,1,0.781563126252505,loop
499,2000,-1,-1,0.782,loop
500,2000,1,1,0.782435129740519,loop
501,2000,1,1,0.7828685258964143,loop
502,2000,1,1,0.7833001988071571,loop
503,2000,-1,1,0.7817460317460317,loop
504,2000,-1,-1,0.7821782178217822,loop
505,3000,1,1,0.782608695652174,perceptron
506,3001,1,1,0.7830374753451677,perceptron
507,3002,1,1,0.7834645669291339,perceptron
508,3000,1,1,0.7838899803536346,perceptron
509,3001,1,1,0.7843137254901961,perceptron
510,3002,1,1,0.7847358121330724,perceptron
511,3000,1,1,0.78515625,perceptron
512,3001,1,1,0.7855750487329435,perceptron
513,3002,1,1,0.7859922178988327,perceptron
514,3000,1,1,0.7864077669902912,perceptron
515,4007,-1,1,0.7848837209302325,perceptron
516,4013,-1,1,0.7833655705996132,perceptron
517,4050,-1,1,0.7818532818532818,perceptron
518,4031,1,-1,0.7803468208092486,perceptron
519,4004,1,-1,0.7788461538461539,perceptron
520,1000,1,-1,0.7773512476007678,loop
521,1001,-1,-1,0.7777777777777778,perceptron
